Title,Id,Year,Duration,Maturity Rating,Genre,Synopsis
Everything Sucks!,80117551,2018,1,18+ ,TV Shows,"It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era."
CAROLE & TUESDAY,80992137,2019,2,18+ ,TV Shows,"Part-timer Carole meets rich girl Tuesday, and each realizes they've found the musical partner they need. Together, they just might make it."
Switched,80230018,2018,1,18+ ,TV Shows,"High schooler Ayumi's perfect world evaporates when her envious classmate Zenko somehow steals her body, her boyfriend and her life."
Take My Brother Away,81012978,2018,1,16+ ,TV Shows,"Bickering siblings Shi Miao and Shi Fen tackle friendship matters, school drama and the pitfalls of growing up with little parental supervision."
Superstition,80176219,2017,1,18+ ,TV Shows,A family with supernatural abilities fights to keep their small Southern town free from sinister spirits and otherworldly possessions.
Beyond Stranger Things,80197912,2017,1,16+ ,"Reality, Variety & Talk Shows","Secrets from the ""Stranger Things 2"" universe are revealed as cast and guests discuss the latest episodes with host Jim Rash. Caution: spoilers ahead!"
Chambers,80210361,2019,1,18+ ,TV Shows,"Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death."
The Hockey Girls,81000389,2019,1,18+ ,TV Shows,"The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance."
Mortel,80241539,2019,1,18+ ,TV Shows,"After making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder."
Between,80022632,2015,2,18+ ,TV Shows,"After a mysterious disease kills every resident over 21 years old, survivors of a town must fend for themselves when the government quarantines them."
Quicksand,80211703,2019,1,18+ ,TV Shows,"After a tragedy at a school sends shock waves through a wealthy Stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder."
Kiss Me First,80097225,2017,1,18+ ,TV Shows,A lonely young woman hooked on a virtual reality game befriends a party girl who leads her into a world of new thrills and dark secrets.
Mob Psycho 100,80213536,2018,1,16+ ,TV Shows,"There's an organization gathering espers for a nefarious purpose. Powerful psychic Mob, however, is just trying to be the protagonist of his own life."
Haters Back Off,80095900,2016,2,13+ ,TV Shows,"Determined to make it big, the confident but clueless Miranda Sings embarks on an unlikely quest for fame in this offbeat comedy."
Sintonia,80217315,2019,1,18+ ,Brazilian TV Shows,"Three teens living in the same São Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion."
We Are the Wave,80218819,2019,1,18+ ,TV Shows,"A mysterious classmate leads four idealistic teens in a revolt against a rising tide of nationalistic fervor, but their movement takes a dark turn."
